BreedName,BreedGroup
Affenpinscher,Companion Dog
Bichon Frisé,Companion Dog
Bolognese,Companion Dog
Boston Terrier,Companion Dog
Brussels Griffon,Companion Dog
Bulldog,Companion Dog
Cavalier King Charles Spaniel,Companion Dog
Chihuahua,Companion Dog
Chinese Crested Dog,Companion Dog
Coton de Tulear,Companion Dog
Dalmatian,Companion Dog
French Bulldog,Companion Dog
Havanese,Companion Dog
Italian Greyhound,Companion Dog
Japanese Chin,Companion Dog
King Charles Spaniel,Companion Dog
Kromfohrländer,Companion Dog
Lhasa Apso,Companion Dog
Löwchen,Companion Dog
Maltese,Companion Dog
Miniature Pinscher,Companion Dog
Papillon,Companion Dog
Pekingese,Companion Dog
Pomeranian,Companion Dog
Pug,Companion Dog
Russian Toy,Companion Dog
Schipperke,Companion Dog
Shih Tzu,Companion Dog
Tibetan Spaniel,Companion Dog
Tibetan Terrier,Companion Dog
Yorkshire Terrier,Companion Dog
Poodle,Companion Dog
Aidi,Guardian Dog
Akbash,Guardian Dog
American Bulldog,Guardian Dog
Anatolian Shepherd Dog,Guardian Dog
Appenzeller Sennenhund,Guardian Dog
Bernese Mountain Dog,Guardian Dog
Black Russian Terrier,Guardian Dog
Boerboel,Guardian Dog
Boxer,Guardian Dog
Broholmer,Guardian Dog
Bullmastiff,Guardian Dog
Cane Corso,Guardian Dog
Cão de Castro Laboreiro,Guardian Dog
Caucasian Shepherd Dog,Guardian Dog
Central Asian Shepherd Dog,Guardian Dog
Doberman Pinscher,Guardian Dog
Dogo Argentino,Guardian Dog
Dogue de Bordeaux,Guardian Dog
English Mastiff,Guardian Dog
Entlebucher Mountain Dog,Guardian Dog
Estrela Mountain Dog,Guardian Dog
Giant Schnauzer,Guardian Dog
Great Dane,Guardian Dog
Great Pyrenees,Guardian Dog
Greater Swiss Mountain Dog,Guardian Dog
Greek Shepherd,Guardian Dog
Hovawart,Guardian Dog
Kangal Shepherd Dog,Guardian Dog
Karst Shepherd,Guardian Dog
Komondor,Guardian Dog
Kuvasz,Guardian Dog
Leonberger,Guardian Dog
Maremma Sheepdog,Guardian Dog
Neapolitan Mastiff,Guardian Dog
Newfoundland,Guardian Dog
Olde English Bulldogge,Guardian Dog
Perro de Presa Canario,Guardian Dog
Perro de Presa Mallorquin,Guardian Dog
Polish Tatra Sheepdog,Guardian Dog
Pyrenean Mastiff,Guardian Dog
Rafeiro do Alentejo,Guardian Dog
Rottweiler,Guardian Dog
Saint Bernard,Guardian Dog
Sarplaninac,Guardian Dog
Slovak Cuvac,Guardian Dog
Spanish Mastiff,Guardian Dog
Standard Schnauzer,Guardian Dog
Tibetan Mastiff,Guardian Dog
Tornjak,Guardian Dog
Tosa,Guardian Dog
Cimarrón Uruguayo,Guardian Dog
American Cocker Spaniel,Gun Dog
American Water Spaniel,Gun Dog
Barbet,Gun Dog
Blue Picardy Spaniel,Gun Dog
Boykin Spaniel,Gun Dog
Bracco Italiano,Gun Dog
Braque d'Auvergne,Gun Dog
Braque de l'Ariege,Gun Dog
Braque du Bourbonnais,Gun Dog
Braque Saint-Germain,Gun Dog
Brittany,Gun Dog
